date,year,name_en,name_ru,event_type
2028-09-30,2028,Raghunatha Bhatta Gosvami,Рагхунатха Бхатта Госвами,уход
2028-09-30,2028,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,уход
2028-10-08,2028,Narottama Dasa Thakura,Нароттама Дас Тхакур,уход
2028-10-21,2028,Prabhupada,Шрила Прабхупада,уход
2028-12-05,2028,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,уход
2028-12-18,2028,Jiva Gosvami,Джива Госвами,уход
2029-01-05,2029,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,явление
2029-01-19,2029,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,явление
2029-01-19,2029,Visvanatha Cakravarti Thakura,Вишванатха Чакраварти Тхакур,уход
2029-01-30,2029,Narottama Dasa Thakura,Нароттама Дас Тхакур,явление
2029-02-03,2029,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,явление
2029-07-11,2029,Bhaktivinoda Thakura,Бхактивинода Тхакур,уход
2029-07-25,2029,Sanatana Gosvami,Санатана Госвами,уход
2029-07-30,2029,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,уход
2029-08-21,2029,Rupa Gosvami,Рупа Госвами,уход
2029-09-02,2029,Prabhupada,Шрила Прабхупада,явление
2029-09-19,2029,Jiva Gosvami,Джива Госвами,явление
2029-09-20,2029,Bhaktivinoda Thakura,Бхактивинода Тхакур,явление
2029-10-19,2029,Krsnadasa Kaviraja Gosvami,Кришнадас Кавирадж Госвами,уход
2029-10-19,2029,Raghunatha Bhatta Gosvami,Рагхунатха Бхатта Госвами,уход
2029-10-19,2029,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,уход
2029-10-27,2029,Narottama Dasa Thakura,Нароттама Дас Тхакур,уход
2029-11-09,2029,Prabhupada,Шрила Прабхупада,уход
2029-12-24,2029,Bhaktisiddhanta Sarasvati Thakura,Бхактисиддханта Сарасвати Тхакур,уход
2030-01-06,2030,Jiva Gosvami,Джива Госвами,уход
2030-01-24,2030,Gopala Bhatta Gosvami,Гопала Бхатта Госвами,явление
2030-02-07,2030,Raghunatha Dasa Gosvami,Рагхунатха Даса Госвами,явление
